"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.115276766,
"USA","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.533889627,
"USA","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.64074654,
"USA","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.521924732,
"MEX","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-1.256872189,"P"
"MEX","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.812760569,"P"
"MEX","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-17.782610597,"P"
"MEX","QGDP","TOT","PC_CHGPP","Q","2020-Q3",13.770805801,"P"
"MEX","QGDP","TOT","PC_CHGPP","Q","2020-Q4",2.903531885,"P"
"MEX","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.010522659,"P"
"MEX","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.151107886,"P"
"MEX","QGDP","TOT","PC_CHGPP","Q","2021-Q3",-0.433415993,"P"
"TUR","QGDP","TOT","PC_CHGPP","Q","2019-Q4",1.364629963,
"TUR","QGDP","TOT","PC_CHGPP","Q","2020-Q1",0.446242923,
"TUR","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-10.769850757,
"TUR","QGDP","TOT","PC_CHGPP","Q","2020-Q3",16.400501819,
"TUR","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.202524785,
"TUR","QGDP","TOT","PC_CHGPP","Q","2021-Q1",2.428416455,
"TUR","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.501480423,
"TUR","QGDP","TOT","PC_CHGPP","Q","2021-Q3",2.709424091,
"IND","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.42794,
"IND","QGDP","TOT","PC_CHGPP","Q","2020-Q1",0.19849,
"IND","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-25.33246,
"IND","QGDP","TOT","PC_CHGPP","Q","2020-Q3",24.05909,
"IND","QGDP","TOT","PC_CHGPP","Q","2020-Q4",8.57818,
"IND","QGDP","TOT","PC_CHGPP","Q","2021-Q1",0.37114,
"IND","QGDP","TOT","PC_CHGPP","Q","2021-Q2",-11.61151,
"IND","QGDP","TOT","PC_CHGPP","Q","2021-Q3",12.6866,
"DEU","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.074416587,"P"
"DEU","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.763973605,"P"
"DEU","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-9.996215611,"P"
"DEU","QGDP","TOT","PC_CHGPP","Q","2020-Q3",9.043062505,"P"
"DEU","QGDP","TOT","PC_CHGPP","Q","2020-Q4",0.743386255,"P"
"DEU","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-1.868714068,"P"
"DEU","QGDP","TOT","PC_CHGPP","Q","2021-Q2",2.021482101,"P"
"DEU","QGDP","TOT","PC_CHGPP","Q","2021-Q3",1.694275412,"P"
"IDN","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.949901895,
"IDN","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.396354031,
"IDN","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-6.668127121,
"IDN","QGDP","TOT","PC_CHGPP","Q","2020-Q3",2.84139323,
"IDN","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.982404646,
"IDN","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.340960543,
"IDN","QGDP","TOT","PC_CHGPP","Q","2021-Q2",0.925120108,
"IDN","QGDP","TOT","PC_CHGPP","Q","2021-Q3",-0.568022611,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.063450117,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2020-Q1",0.136212206,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-17.39410026,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2020-Q3",13.892531694,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2020-Q4",2.548716912,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2021-Q1",0.924971075,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.05664782,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2021-Q3",-1.489657575,
"RUS","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.452487734,
"RUS","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.196323318,
"RUS","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-4.485002074,
"RUS","QGDP","TOT","PC_CHGPP","Q","2020-Q3",2.7780786,
"RUS","QGDP","TOT","PC_CHGPP","Q","2020-Q4",0.739743224,
"RUS","QGDP","TOT","PC_CHGPP","Q","2021-Q1",0.680789326,
"RUS","QGDP","TOT","PC_CHGPP","Q","2021-Q2",3.190933741,
"RUS","QGDP","TOT","PC_CHGPP","Q","2021-Q3",-0.794505895,
"ITA","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.420040076,
"ITA","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-5.719781755,
"ITA","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-12.870385779,
"ITA","QGDP","TOT","PC_CHGPP","Q","2020-Q3",15.621339325,
"ITA","QGDP","TOT","PC_CHGPP","Q","2020-Q4",-1.625558716,
"ITA","QGDP","TOT","PC_CHGPP","Q","2021-Q1",0.277518884,
"ITA","QGDP","TOT","PC_CHGPP","Q","2021-Q2",2.670427691,
"ITA","QGDP","TOT","PC_CHGPP","Q","2021-Q3",2.632432935,
"CHN","QGDP","TOT","PC_CHGPP","Q","2019-Q4",1.6,
"CHN","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-9.5,
"CHN","QGDP","TOT","PC_CHGPP","Q","2020-Q2",10.7,
"CHN","QGDP","TOT","PC_CHGPP","Q","2020-Q3",2.9,
"CHN","QGDP","TOT","PC_CHGPP","Q","2020-Q4",3.2,
"CHN","QGDP","TOT","PC_CHGPP","Q","2021-Q1",0.2,
"CHN","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.2,
"CHN","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.2,
"FRA","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.326294962,
"FRA","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-5.697113611,
"FRA","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-13.464232562,
"FRA","QGDP","TOT","PC_CHGPP","Q","2020-Q3",18.5217501,
"FRA","QGDP","TOT","PC_CHGPP","Q","2020-Q4",-1.053527873,
"FRA","QGDP","TOT","PC_CHGPP","Q","2021-Q1",0.054859749,
"FRA","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.266637042,
"FRA","QGDP","TOT","PC_CHGPP","Q","2021-Q3",3.011177346,
"G-20","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.31644,
"G-20","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-3.24437,
"G-20","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-6.94496,
"G-20","QGDP","TOT","PC_CHGPP","Q","2020-Q3",8.55769,
"G-20","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.83299,
"G-20","QGDP","TOT","PC_CHGPP","Q","2021-Q1",0.68083,
"G-20","QGDP","TOT","PC_CHGPP","Q","2021-Q2",0.41345,
"G-20","QGDP","TOT","PC_CHGPP","Q","2021-Q3",1.7,
"EA19","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.00732,
"EA19","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-3.467161,
"EA19","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-11.68216,
"EA19","QGDP","TOT","PC_CHGPP","Q","2020-Q3",12.550886,
"EA19","QGDP","TOT","PC_CHGPP","Q","2020-Q4",-0.350052,
"EA19","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-0.204747,
"EA19","QGDP","TOT","PC_CHGPP","Q","2021-Q2",2.191025,
"EA19","QGDP","TOT","PC_CHGPP","Q","2021-Q3",2.193714,
"SAU","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.304377329,
"SAU","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-2.226251202,
"SAU","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-4.659143127,
"SAU","QGDP","TOT","PC_CHGPP","Q","2020-Q3",2.513516662,
"SAU","QGDP","TOT","PC_CHGPP","Q","2020-Q4",0.279605213,
"SAU","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-1.034916853,
"SAU","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.088306032,
"SAU","QGDP","TOT","PC_CHGPP","Q","2021-Q3",5.829714892,
"EU27_2020","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.048308,
"EU27_2020","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-3.059855,
"EU27_2020","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-11.297342,
"EU27_2020","QGDP","TOT","PC_CHGPP","Q","2020-Q3",11.683211,
"EU27_2020","QGDP","TOT","PC_CHGPP","Q","2020-Q4",-0.164794,
"EU27_2020","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-0.002665,
"EU27_2020","QGDP","TOT","PC_CHGPP","Q","2021-Q2",2.092405,
"EU27_2020","QGDP","TOT","PC_CHGPP","Q","2021-Q3",2.09682,
