"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HUR","TOT","PC_LF","M","2020-01",5.311689,
"AUS","HUR","TOT","PC_LF","M","2020-02",5.13366,
"AUS","HUR","TOT","PC_LF","M","2020-03",5.271841,
"AUS","HUR","TOT","PC_LF","M","2020-04",6.37428,
"AUS","HUR","TOT","PC_LF","M","2020-05",7.01855,
"AUS","HUR","TOT","PC_LF","M","2020-06",7.353493,
"AUS","HUR","TOT","PC_LF","M","2020-07",7.447852,
"AUS","HUR","TOT","PC_LF","M","2020-08",6.758117,
"AUS","HUR","TOT","PC_LF","M","2020-09",6.854742,
"AUS","HUR","TOT","PC_LF","M","2020-10",6.936029,
"AUS","HUR","TOT","PC_LF","M","2020-11",6.83282,
"AUS","HUR","TOT","PC_LF","M","2020-12",6.57785,
"AUS","HUR","TOT","PC_LF","M","2021-01",6.399354,
"AUS","HUR","TOT","PC_LF","M","2021-02",5.862513,
"AUS","HUR","TOT","PC_LF","M","2021-03",5.693571,
"AUS","HUR","TOT","PC_LF","M","2021-04",5.47039,
"AUS","HUR","TOT","PC_LF","M","2021-05",5.064299,
"AUS","HUR","TOT","PC_LF","M","2021-06",4.905563,
"AUS","HUR","TOT","PC_LF","M","2021-07",4.627531,
"AUS","HUR","TOT","PC_LF","M","2021-08",4.524375,
"AUS","HUR","TOT","PC_LF","M","2021-09",4.631093,
"AUS","HUR","TOT","PC_LF","M","2021-10",5.222845,
"AUT","HUR","TOT","PC_LF","M","2020-01",4.5,"P"
"AUT","HUR","TOT","PC_LF","M","2020-02",4.5,"P"
"AUT","HUR","TOT","PC_LF","M","2020-03",4.9,"P"
"AUT","HUR","TOT","PC_LF","M","2020-04",6,"P"
"AUT","HUR","TOT","PC_LF","M","2020-05",7.1,"P"
"AUT","HUR","TOT","PC_LF","M","2020-06",7.7,"P"
"AUT","HUR","TOT","PC_LF","M","2020-07",6.8,"P"
"AUT","HUR","TOT","PC_LF","M","2020-08",6.4,"P"
"AUT","HUR","TOT","PC_LF","M","2020-09",6.4,"P"
"AUT","HUR","TOT","PC_LF","M","2020-10",6.1,"P"
"AUT","HUR","TOT","PC_LF","M","2020-11",6.1,"P"
"AUT","HUR","TOT","PC_LF","M","2020-12",6.8,"P"
"AUT","HUR","TOT","PC_LF","M","2021-01",7.3,"P"
"AUT","HUR","TOT","PC_LF","M","2021-02",7,"P"
"AUT","HUR","TOT","PC_LF","M","2021-03",6.7,"P"
"AUT","HUR","TOT","PC_LF","M","2021-04",7.1,"P"
"AUT","HUR","TOT","PC_LF","M","2021-05",6.7,"P"
"AUT","HUR","TOT","PC_LF","M","2021-06",6.2,"P"
"AUT","HUR","TOT","PC_LF","M","2021-07",6,"P"
"AUT","HUR","TOT","PC_LF","M","2021-08",5.9,"P"
"AUT","HUR","TOT","PC_LF","M","2021-09",5.2,"P"
"AUT","HUR","TOT","PC_LF","M","2021-10",5.8,"P"
"BEL","HUR","TOT","PC_LF","M","2020-01",5.1,
"BEL","HUR","TOT","PC_LF","M","2020-02",5,
"BEL","HUR","TOT","PC_LF","M","2020-03",4.9,
"BEL","HUR","TOT","PC_LF","M","2020-04",4.9,
"BEL","HUR","TOT","PC_LF","M","2020-05",5,
"BEL","HUR","TOT","PC_LF","M","2020-06",5.4,
"BEL","HUR","TOT","PC_LF","M","2020-07",6,
"BEL","HUR","TOT","PC_LF","M","2020-08",6.4,
"BEL","HUR","TOT","PC_LF","M","2020-09",6.3,
"BEL","HUR","TOT","PC_LF","M","2020-10",5.8,
"BEL","HUR","TOT","PC_LF","M","2020-11",5.8,
"BEL","HUR","TOT","PC_LF","M","2020-12",6,"B"
"BEL","HUR","TOT","PC_LF","M","2021-01",6.5,
"BEL","HUR","TOT","PC_LF","M","2021-02",6.7,
"BEL","HUR","TOT","PC_LF","M","2021-03",6.7,
"BEL","HUR","TOT","PC_LF","M","2021-04",6.5,
"BEL","HUR","TOT","PC_LF","M","2021-05",6.3,
"BEL","HUR","TOT","PC_LF","M","2021-06",6.2,
"BEL","HUR","TOT","PC_LF","M","2021-07",6.2,
"BEL","HUR","TOT","PC_LF","M","2021-08",6.4,
"BEL","HUR","TOT","PC_LF","M","2021-09",6.3,
"BEL","HUR","TOT","PC_LF","M","2021-10",6.3,
"CAN","HUR","TOT","PC_LF","M","2020-01",5.6,
"CAN","HUR","TOT","PC_LF","M","2020-02",5.7,
"CAN","HUR","TOT","PC_LF","M","2020-03",7.9,
"CAN","HUR","TOT","PC_LF","M","2020-04",13.1,
"CAN","HUR","TOT","PC_LF","M","2020-05",13.7,
"CAN","HUR","TOT","PC_LF","M","2020-06",12.5,
"CAN","HUR","TOT","PC_LF","M","2020-07",10.9,
"CAN","HUR","TOT","PC_LF","M","2020-08",10.2,
"CAN","HUR","TOT","PC_LF","M","2020-09",9.2,
"CAN","HUR","TOT","PC_LF","M","2020-10",9,
"CAN","HUR","TOT","PC_LF","M","2020-11",8.6,
"CAN","HUR","TOT","PC_LF","M","2020-12",8.8,
"CAN","HUR","TOT","PC_LF","M","2021-01",9.4,
"CAN","HUR","TOT","PC_LF","M","2021-02",8.2,
"CAN","HUR","TOT","PC_LF","M","2021-03",7.5,
"CAN","HUR","TOT","PC_LF","M","2021-04",8.1,
"CAN","HUR","TOT","PC_LF","M","2021-05",8.2,
"CAN","HUR","TOT","PC_LF","M","2021-06",7.8,
"CAN","HUR","TOT","PC_LF","M","2021-07",7.5,
"CAN","HUR","TOT","PC_LF","M","2021-08",7.1,
"CAN","HUR","TOT","PC_LF","M","2021-09",6.9,
"CAN","HUR","TOT","PC_LF","M","2021-10",6.7,
"CAN","HUR","TOT","PC_LF","M","2021-11",6,
"CZE","HUR","TOT","PC_LF","M","2020-01",1.9,
"CZE","HUR","TOT","PC_LF","M","2020-02",1.8,
"CZE","HUR","TOT","PC_LF","M","2020-03",1.9,
"CZE","HUR","TOT","PC_LF","M","2020-04",2.2,
"CZE","HUR","TOT","PC_LF","M","2020-05",2.4,
"CZE","HUR","TOT","PC_LF","M","2020-06",2.7,
"CZE","HUR","TOT","PC_LF","M","2020-07",2.9,
"CZE","HUR","TOT","PC_LF","M","2020-08",2.7,
"CZE","HUR","TOT","PC_LF","M","2020-09",2.8,
"CZE","HUR","TOT","PC_LF","M","2020-10",3.2,
"CZE","HUR","TOT","PC_LF","M","2020-11",2.9,
"CZE","HUR","TOT","PC_LF","M","2020-12",3.2,
"CZE","HUR","TOT","PC_LF","M","2021-01",3.2,
"CZE","HUR","TOT","PC_LF","M","2021-02",3.2,
"CZE","HUR","TOT","PC_LF","M","2021-03",3.4,
"CZE","HUR","TOT","PC_LF","M","2021-04",3.3,
"CZE","HUR","TOT","PC_LF","M","2021-05",3.1,
"CZE","HUR","TOT","PC_LF","M","2021-06",2.8,
"CZE","HUR","TOT","PC_LF","M","2021-07",2.6,
"CZE","HUR","TOT","PC_LF","M","2021-08",2.8,
"CZE","HUR","TOT","PC_LF","M","2021-09",2.6,
"CZE","HUR","TOT","PC_LF","M","2021-10",2.6,
"DNK","HUR","TOT","PC_LF","M","2020-01",4.9,
"DNK","HUR","TOT","PC_LF","M","2020-02",4.8,
"DNK","HUR","TOT","PC_LF","M","2020-03",4.8,
"DNK","HUR","TOT","PC_LF","M","2020-04",4.9,
"DNK","HUR","TOT","PC_LF","M","2020-05",5.6,
